showdates,showlengths
2014-10-17,23
2014-10-18,22
2014-10-21,22
2014-10-22,24
2014-10-24,21
2014-10-25,22
2014-10-27,24
2014-10-28,20
2014-10-29,20
2014-10-31,31
2014-11-01,26
2014-11-02,19
2014-12-31,31
2015-01-01,18
2015-01-02,19
2015-01-03,18
2015-07-21,21
2015-07-22,16
2015-07-24,15
2015-07-25,18
2015-07-28,26
2015-07-29,20
2015-07-31,18
2015-08-01,17
2015-08-02,19
2015-08-04,18
2015-08-05,17
2015-08-07,19
2015-08-08,19
2015-08-09,21
2015-08-11,23
2015-08-12,16
2015-08-14,22
2015-08-15,25
2015-08-16,18
2015-08-20,1
2015-08-21,21
2015-08-22,32
2015-08-23,23
2015-09-04,22
2015-09-05,21
2015-09-06,30
2015-12-30,21
2015-12-31,26
2016-01-01,18
2016-01-02,18
2016-01-15,19
2016-01-16,19
2016-01-17,20
2016-06-22,25
2016-06-24,20
2016-06-25,20
2016-06-26,22
2016-06-28,22
2016-06-29,22
2016-07-01,24
2016-07-02,22
2016-07-03,22
2016-07-06,25
2016-07-08,19
2016-07-09,19
2016-07-10,27
2016-07-15,26
2016-07-16,27
2016-07-18,20
2016-07-19,21
2016-07-20,27
2016-07-22,26
2016-07-23,22
2016-08-26,18
2016-08-28,22
2016-09-02,20
2016-09-03,18
2016-09-04,17
2016-10-10,2
2016-10-14,21
2016-10-15,23
2016-10-16,20
2016-10-18,21
2016-10-19,19
2016-10-21,18
2016-10-22,21
2016-10-24,24
2016-10-25,23
2016-10-28,21
2016-10-29,20
2016-10-30,19
2016-10-31,31
2016-12-28,22
2016-12-29,22
2016-12-30,20
2016-12-31,29
2017-01-12,4
2017-01-13,19
2017-01-14,20
2017-01-15,19
2017-07-14,21
2017-07-15,18
2017-07-16,19
2017-07-18,17
2017-07-19,19
2017-07-21,19
2017-07-22,20
2017-07-23,17
2017-07-25,14
2017-07-26,17
2017-07-28,20
2017-07-29,21
2017-07-30,17
2017-08-01,21
2017-08-02,19
2017-08-04,18
2017-08-05,20
2017-08-06,20
2017-09-01,16
2017-09-02,19
2017-09-03,20
2017-12-28,17
2017-12-29,16
2017-12-30,16
2017-12-31,24
2018-07-17,16
2018-07-18,21
2018-07-20,18
2018-07-21,19
2018-07-22,16
2018-07-24,19
2018-07-25,21
2018-07-27,18
2018-07-28,19
2018-07-31,20
2018-08-03,18
2018-08-04,17
2018-08-05,18
2018-08-07,20
2018-08-08,18
2018-08-10,24
2018-08-11,17
2018-08-12,19
2018-08-31,15
2018-09-01,18
2018-09-02,23
2018-10-16,17
2018-10-17,20
2018-10-19,18
2018-10-20,18
2018-10-21,19
2018-10-23,18
2018-10-24,16
2018-10-26,17
2018-10-27,17
2018-10-28,19
2018-10-31,28
2018-11-01,19
2018-11-02,19
2018-11-03,19
2018-12-28,21
2018-12-29,18
2018-12-30,24
2018-12-31,29
2019-02-20,3
2019-02-21,18
2019-02-22,15
2019-02-23,22
2019-06-11,19
2019-06-12,21
2019-06-14,14
2019-06-16,20
2019-06-18,20
2019-06-19,19
2019-06-21,21
2019-06-22,24
2019-06-23,21
2019-06-25,21
2019-06-26,20
2019-06-28,20
2019-06-29,21
2019-06-30,23
2019-07-02,22
2019-07-03,23
2019-07-05,19
2019-07-06,21
2019-07-09,22
2019-07-10,25
2019-07-12,24
2019-07-13,21
2019-07-14,30
2019-08-30,21
2019-08-31,21
2019-09-01,25
2019-11-29,28
2019-11-30,25
2019-12-01,23
2019-12-03,25
2019-12-04,24
2019-12-06,26
2019-12-07,23
2019-12-08,29
2019-12-28,24
2019-12-29,21
2019-12-30,18
2019-12-31,26
2020-02-19,5
2020-02-20,19
2020-02-21,23
2020-02-22,22
2020-02-23,21
